Gene	Histone 0min Rep1	Histone 30min Rep1	Histone 60min Rep1	Histone 90min Rep1	Histone 0min Rep2	Histone 30min Rep2	Histone 60min Rep2	Histone 90min Rep2	Histone 0min Rep3	Histone 30min Rep3	Histone 60min Rep3	Histone 90min Rep3
YKL042W	0.141976142	0.094881209	0.065837682	0.060985646	0.173756722	0.111935657	0.082326793	0.071629462	0.143057526	0.099233526	0.078756716	0.058564921
YKL043W	0.085268414	0.062651379	0.038719376	0.03291586	0.099121979	0.057890312	0.042886923	0.039052411	0.090843049	0.06124995	0.054061406	0.033908721
YKL044W	0.042768477	0.03387496	0.02316115	0.02115104	0.045560891	0.03538652	0.021262667	0.02848509	0.040985427	0.029031651	0.026115869	0.025705984
YKL045W	0.124952063	0.087803623	0.063555177	0.053715805	0.16392667	0.101284445	0.072923861	0.062617285	0.132391499	0.096352792	0.069444422	0.055229442
YKL046C	0.196942325	0.132269094	0.096751492	0.086382353	0.234751998	0.155842766	0.122498704	0.102481366	0.198134191	0.146155077	0.121326791	0.091558961
YKL047W	0.059976474	0.045550937	0.028557284	0.027365799	0.070548493	0.050754721	0.033739499	0.029893881	0.060501616	0.046410036	0.036331623	0.029142793
YKL048C	0.17903038	0.129280858	0.081595963	0.072016511	0.209322723	0.136059598	0.105521227	0.080672179	0.175812072	0.126689085	0.102379704	0.080524305
YKL049C	0.063484423	0.038853812	0.030249786	0.024167835	0.07924442	0.048284523	0.031333987	0.031377083	0.069816487	0.039223304	0.036486978	0.024769206
YKL050C	0.104133965	0.074793742	0.052502463	0.045756653	0.122322539	0.080565944	0.057379382	0.053264418	0.112206342	0.080979882	0.063709464	0.050741398
YKL051W	0.11793344	0.078176136	0.05301778	0.043527316	0.139646976	0.076535779	0.065212257	0.053455421	0.101887426	0.069573349	0.049590209	0.037703708
YKL053C-A	0.039384448	0.029882157	0.02123569	0.020306	0.038409207	0.034140686	0.022934632	0.026655195	0.036920904	0.023876579	0.036722379	0.017369785
YKL054C	0.470688496	0.332906347	0.24304101	0.244309968	0.55947628	0.375930901	0.291919127	0.268880377	0.46968992	0.354001499	0.296961243	0.267420947
YKL055C	0.054233658	0.03552867	0.025670595	0.0235284	0.050746194	0.046125814	0.030818722	0.027758407	0.048282432	0.036367364	0.032604319	0.022228499
YKL056C	0.292580577	0.153009927	0.114572177	0.091161437	0.336145012	0.202662641	0.115817163	0.098375556	0.285825351	0.188340304	0.119255554	0.096064929
YKL057C	0.286776172	0.216591103	0.147123446	0.127686065	0.341798791	0.207866855	0.164778337	0.148452474	0.290548964	0.215696598	0.172878551	0.136821411
YKL058W	0.056229553	0.040679141	0.030448407	0.024227648	0.065617431	0.046904783	0.035499629	0.032385474	0.074167675	0.050038629	0.041408965	0.035128401
YKL059C	0.191033627	0.119208666	0.079003914	0.062523686	0.228125725	0.131303396	0.092790449	0.074920673	0.176691573	0.131230364	0.08995758	0.068812354
YKL060C	0.438623018	0.281040723	0.175702655	0.141649195	0.507780045	0.297392999	0.209851712	0.159950166	0.44202298	0.289662639	0.195887141	0.144805938
YKL061W	0.067589643	0.046296971	0.024348175	0.029165371	0.070287678	0.046048687	0.032251251	0.034149357	0.070508725	0.039977912	0.031592904	0.022832769
YKL062W	0.06774299	0.053174771	0.031903443	0.030343254	0.082980559	0.0568028	0.040916919	0.036348814	0.073444767	0.058275072	0.04040184	0.033418083
YKL063C	0.058030008	0.034951272	0.024072891	0.026503278	0.066660522	0.043767808	0.03177899	0.029615937	0.059420442	0.038302625	0.036239542	0.02565599
YKL064W	0.114124197	0.076799305	0.050743722	0.04464668	0.130823889	0.083907577	0.05844601	0.054346299	0.118812749	0.086927667	0.062734916	0.049610763
YKL065C	0.035719188	0.030768092	0.020441733	0.016174733	0.048054882	0.031612087	0.025563271	0.023003849	0.036340709	0.027619903	0.029657556	0.019141663
YKL065W-A	0.029110378	0.017487626	0.015182523	0.016525486	0.027494734	0.023999221	0.018327324	0.020382581	0.027710721	0.01768768	0.022919194	0.01420459
YKL066W	0.078382768	0.043983297	0.027607072	0.025139653	0.09136395	0.065213113	0.030335329	0.029131806	0.080681552	0.045322606	0.043256198	0.029098083
YKL067W	0.096820652	0.062470188	0.036926452	0.036709632	0.129525498	0.064005232	0.051133576	0.043805684	0.100760448	0.052382959	0.039148976	0.039181766
YKL068W	0.256153656	0.181886058	0.126493589	0.110123421	0.303956062	0.193495678	0.149806812	0.128679526	0.267608824	0.203288603	0.145788868	0.120015422
YKL068W-A	0.073830489	0.037865456	0.03075165	0.025983743	0.062269553	0.042123844	0.029183241	0.028278747	0.052223527	0.044653262	0.033797435	0.027638532
YKL069W	0.053387587	0.042095919	0.02708374	0.023593972	0.065350195	0.049309197	0.030439269	0.026089956	0.052960477	0.035186396	0.040491232	0.025572173
YKL070W	0.093953671	0.075284825	0.042593476	0.036672975	0.121592757	0.068199578	0.058184253	0.046246178	0.113050967	0.083445796	0.051611345	0.036014741
YKL071W	0.095353114	0.055421301	0.044897163	0.038076082	0.11077152	0.079436108	0.043832735	0.045812599	0.10086123	0.069541946	0.054078987	0.038566939
YKL072W	0.112433381	0.085031493	0.053929908	0.047874978	0.136471037	0.078172434	0.068274282	0.052894137	0.120903678	0.080613565	0.069103263	0.0528824
YKL073W	0.122196096	0.098029127	0.066623714	0.055655694	0.148144294	0.102428256	0.07942245	0.068872611	0.128226898	0.096023723	0.073952822	0.060557568
YKL074C	0.115317379	0.08036877	0.057428133	0.045081279	0.136312335	0.084096616	0.068723584	0.055334893	0.116362504	0.086595508	0.074026085	0.050883898
YKL077W	0.192470871	0.12352162	0.087172892	0.070669662	0.220299021	0.141030889	0.10075861	0.083274495	0.19572755	0.134975886	0.100180362	0.068399849
YKL078W	0.09039862	0.061198913	0.047115777	0.036648625	0.108907672	0.074650321	0.052470071	0.043397079	0.106831516	0.077287954	0.062220149	0.042900264
YKL079W	0.141487103	0.092955549	0.06738116	0.059216018	0.16030247	0.111654418	0.079016028	0.067316588	0.141086801	0.101972838	0.078789078	0.060640936
YKL080W	0.091736568	0.069167841	0.045840925	0.046354228	0.111814746	0.079695858	0.05365302	0.05151038	0.105063119	0.077668914	0.058361769	0.044218556
YKL081W	0.483592985	0.340532496	0.249292271	0.223733401	0.611660889	0.380335288	0.295313167	0.248726285	0.491848698	0.372225049	0.280778199	0.223823474
YKL084W	0.053108222	0.046862003	0.03269263	0.031345575	0.059354695	0.046098764	0.038481114	0.039028319	0.058635672	0.043570883	0.039183949	0.02330741
YKL085W	0.075975472	0.050093234	0.035449663	0.029595119	0.101875369	0.06595131	0.041167652	0.036515639	0.073842365	0.058588434	0.045956012	0.033009003
YKL086W	0.031436534	0.022327747	0.016933971	0.015340003	0.037346443	0.022019997	0.014933372	0.020985346	0.029488193	0.021062398	0.024952294	0.016282229
YKL087C	0.057981092	0.033036591	0.02648815	0.0244232	0.055638572	0.047499004	0.033878492	0.028950947	0.050437281	0.038063375	0.037154076	0.025209926
YKL088W	0.213791722	0.149894948	0.105115112	0.093601981	0.246347328	0.157646982	0.122382432	0.105534962	0.226044332	0.166926452	0.13192199	0.098474679
YKL089W	0.126274053	0.086788155	0.065031481	0.052755679	0.143581036	0.095921621	0.072860576	0.065414241	0.12665843	0.095936538	0.073047327	0.057645674
YKL090W	0.062583232	0.037601205	0.029983074	0.029512253	0.07803587	0.052367947	0.032714044	0.031851669	0.061253219	0.045813643	0.03888992	0.02847773
YKL091C	0.056296283	0.050820711	0.033590862	0.028275442	0.085250681	0.059960117	0.036262783	0.035020221	0.065041805	0.050031971	0.037655955	0.031759133
YKL092C	0.167406913	0.12584656	0.086547146	0.075072437	0.197121141	0.128991692	0.100892214	0.095346094	0.168073675	0.12828951	0.103354031	0.084957753
YKL093W	0.08541038	0.062352557	0.04348853	0.0377452	0.106879509	0.072090647	0.052448477	0.037214298	0.096174163	0.069183998	0.052728023	0.03311458
YKL094W	0.173339665	0.106990945	0.071755793	0.062335983	0.217627863	0.125853537	0.086326281	0.072464971	0.17036882	0.112002517	0.083158082	0.061137355
YKL095W	0.074171925	0.04671114	0.031006664	0.032143947	0.085054901	0.055190364	0.0328259	0.028604885	0.077831662	0.052281373	0.039390099	0.029888416
YKL096C-B	0.040471987	0.0347993	0.033509427	0.040085747	0.073186487	0.059580633	0.024779453	0.0458195	0.062735207	0.050731387	0.096127547	0.0351672
YKL096W	0.036270206	0.026344899	0.019545176	0.017970417	0.044856686	0.032703882	0.027824193	0.023736072	0.033534824	0.030964575	0.027657519	0.016897835
YKL096W-A	0.041117262	0.029877043	0.026344441	0.029256219	0.048056143	0.043018387	0.029462792	0.033326462	0.04941252	0.036984932	0.034840452	0.028594548
YKL097C	0.040550504	0.061788959	0.043157092	0.051460594	0.103929453	0.099721153	0.041902803	0.054691679	0.058708058	0.093662674	0.120635299	0.027807139
YKL098W	0.070351903	0.046282833	0.037435812	0.032693571	0.094781937	0.053917014	0.038668771	0.03061975	0.083292356	0.053945019	0.048698524	0.029106536
YKL099C	0.111991292	0.060565712	0.043163805	0.035422048	0.127578393	0.067736902	0.051870554	0.039565275	0.108229944	0.07606089	0.052794436	0.03431688
YKL101W	0.249241218	0.185965224	0.129080827	0.11652182	0.294193395	0.199858529	0.157425637	0.14269824	0.25615248	0.184489051	0.153703925	0.120921673
YKL102C	0.032873163	0.029686833	0.020770745	0.022416095	0.045938464	0.039185791	0.018220817	0.022007912	0.034889065	0.029734592	0.037339892	0.022392131
YKL103C	0.064336148	0.042263534	0.026130065	0.024729137	0.074129944	0.050959458	0.036223409	0.028551644	0.059193509	0.039329955	0.034823383	0.023535807
YKL104C	0.230776209	0.159314606	0.10628485	0.09715928	0.268511907	0.168379169	0.133176925	0.116041656	0.224287942	0.165217787	0.134398523	0.102740168
YKL105C	0.165553	0.109317869	0.07905756	0.070785158	0.193616714	0.122679848	0.094494563	0.088626169	0.166840242	0.12164712	0.098463113	0.076857577
YKL106C-A	0.043473458	0.026089617	0.025651225	0.028978758	0.043810433	0.024320933	0.031311783	0.0247478	0.038301117	0.023048833	0.030685917	0.023843067
YKL106W	0.089846278	0.063276549	0.045647139	0.039402014	0.111260173	0.075383749	0.054558667	0.042122998	0.096267171	0.068596257	0.059446724	0.038097834
YKL107W	0.028446119	0.019882586	0.016464539	0.01575174	0.028825941	0.027088615	0.017183253	0.016636418	0.022358959	0.022126011	0.023925453	0.016663563
YKL108W	0.104826328	0.060879233	0.048352877	0.0393463	0.122572319	0.077948082	0.058103206	0.047532462	0.096875151	0.066457234	0.060183798	0.038272485
YKL109W	0.238542535	0.163622832	0.111076443	0.098056482	0.298724589	0.188263413	0.149444761	0.118918603	0.256231609	0.156686138	0.132376484	0.105092665
YKL110C	0.057263775	0.041951917	0.02875736	0.025552915	0.066016464	0.056046005	0.03871227	0.033689735	0.065002977	0.042464947	0.044210029	0.029941574
YKL113C	0.136591371	0.076516546	0.061197736	0.051845103	0.154843665	0.103263364	0.069274373	0.05896538	0.12009909	0.083717179	0.061205828	0.0570485
YKL114C	0.096104877	0.063135255	0.04394812	0.038728267	0.120412238	0.080839507	0.046002935	0.041425302	0.101383666	0.072172668	0.054557859	0.042862966
YKL117W	0.187552083	0.126595826	0.093971985	0.081927346	0.26176376	0.140376151	0.121214447	0.089379896	0.192735232	0.149190157	0.108115727	0.08596292
YKL120W	0.434282164	0.321693569	0.207619078	0.190180331	0.513640497	0.357366501	0.232312674	0.20262517	0.446373504	0.340747282	0.240863572	0.193258178
YKL121W	0.072674268	0.059791297	0.039849174	0.03423893	0.095570513	0.059593945	0.045272464	0.038549054	0.07815725	0.057605857	0.050728368	0.041660329
YKL122C	0.058000734	0.043995651	0.027498887	0.027260891	0.053415637	0.042716724	0.031250159	0.029464405	0.06493472	0.045106984	0.043758893	0.032049236
YKL125W	0.220345814	0.156032761	0.106750361	0.092135136	0.262170744	0.165101516	0.141696776	0.109603899	0.241345241	0.166480098	0.129562968	0.105894858
YKL126W	0.157024686	0.110678693	0.081410234	0.066146444	0.200204245	0.123933361	0.095067201	0.080733149	0.15347803	0.119579137	0.092496033	0.075170492
YKL127W	0.071778375	0.040291124	0.032125864	0.02718463	0.087985936	0.059016207	0.041961684	0.031019473	0.070498981	0.0521076	0.039438493	0.031395331
YKL128C	0.110879678	0.068908587	0.043071561	0.038768907	0.131206806	0.077732178	0.055969116	0.047498289	0.105763204	0.074246485	0.059227724	0.044317641
YKL129C	0.098115709	0.063032547	0.045916116	0.040763959	0.123469544	0.075385399	0.057459491	0.04966027	0.104035582	0.071985074	0.058191019	0.042770585
YKL130C	0.060085456	0.042600557	0.03195091	0.025296719	0.081029429	0.051042594	0.03818809	0.027806583	0.063213603	0.044949163	0.043736119	0.029704795
YKL133C	0.034557795	0.024296101	0.017165881	0.017142698	0.036286281	0.032901955	0.01843281	0.020505588	0.029188267	0.024831981	0.025743371	0.019932066
YKL134C	0.103578853	0.071393857	0.048592945	0.048384502	0.120245516	0.084179781	0.059755913	0.053002651	0.101669693	0.074464752	0.062362354	0.045604924
YKL137W	0.047628988	0.035113985	0.024493295	0.019491381	0.044290155	0.042718226	0.027651122	0.025851503	0.03545167	0.033933935	0.034385128	0.026084271
YKL138C	0.056751154	0.039091609	0.029553515	0.027361205	0.07415075	0.045214088	0.033133485	0.028368045	0.061694783	0.042168977	0.03863225	0.028593427
YKL138C-A	0.074564352	0.0414955	0.037907333	0.0287675	0.063905171	0.048163462	0.034733219	0.029307757	0.059997819	0.061918671	0.047090081	0.034838514
YKL139W	0.288326165	0.211433273	0.138626878	0.127362047	0.366656575	0.214973696	0.170203322	0.162032997	0.311549917	0.205849723	0.179649227	0.130745406
YKL140W	0.100642061	0.068055461	0.049647477	0.044050761	0.118292851	0.079154588	0.065108613	0.056158868	0.09820409	0.074352403	0.062010745	0.05122699
YKL141W	0.033569275	0.021169224	0.021608382	0.016664961	0.042134719	0.02844873	0.0243177	0.021803747	0.036699883	0.024988762	0.025281879	0.018615276
YKL142W	0.049653576	0.028486071	0.020482653	0.0171786	0.050129667	0.032703009	0.027490674	0.021003792	0.038681768	0.033961067	0.030001974	0.022597294
YKL143W	0.202724445	0.128169873	0.092729547	0.078089767	0.240416831	0.14185777	0.099780909	0.091957448	0.217569491	0.15176223	0.118742958	0.078814244
YKL144C	0.07024231	0.039670247	0.033199185	0.031535119	0.085712052	0.061275322	0.041640183	0.033871858	0.065443066	0.057246829	0.048650236	0.033315992
YKL148C	0.076691316	0.051887391	0.035553763	0.031961498	0.089969995	0.064565912	0.045144606	0.040937469	0.07964938	0.056711595	0.04425372	0.038451592
YKL149C	0.104762824	0.075996204	0.054303723	0.053127931	0.13474617	0.089076679	0.063197011	0.062076901	0.120422586	0.092555294	0.077218663	0.053452378
YKL150W	0.064015227	0.038066649	0.028045393	0.027354567	0.068955641	0.053994675	0.032408782	0.030018367	0.050950521	0.041762603	0.038279542	0.031757682
YKL151C	0.039288308	0.025273924	0.023694066	0.020443945	0.042811225	0.037934562	0.025885173	0.026547161	0.034426634	0.033204606	0.0253203	0.01792065
YKL154W	0.079851482	0.057401396	0.04169041	0.035146741	0.084438362	0.065855106	0.042054683	0.039252595	0.078443359	0.073024162	0.044182539	0.034395527
YKL155C	0.151186785	0.092008054	0.065630677	0.055488913	0.182368165	0.112794879	0.078319749	0.06725643	0.164024589	0.105706901	0.075777947	0.056345624
YKL157W	0.119282423	0.08396236	0.059255775	0.051576714	0.144960714	0.090912213	0.071724291	0.058748438	0.127419083	0.090860306	0.070553296	0.057744912
YKL159C	0.056828741	0.037495583	0.029913234	0.02427577	0.069029519	0.057249442	0.030433904	0.027871681	0.05207828	0.043281291	0.029686914	0.026491077
YKL160W	0.075306758	0.041371546	0.028252331	0.031034947	0.064833445	0.046651365	0.032904635	0.024975701	0.058611176	0.050687902	0.045894146	0.029360336
YKL161C	0.055982625	0.045828535	0.033015816	0.027201794	0.067110258	0.047645796	0.034399167	0.031544853	0.054746336	0.047706964	0.035144194	0.028287211
YKL162C	0.052680667	0.034686317	0.027100483	0.025032995	0.059095356	0.042726853	0.028839368	0.027683923	0.054516166	0.04453969	0.030160792	0.026833479
YKL162C-A	0.022303098	0.016296418	0.009251444	0.010994797	0.017876392	0.016549824	0.010231601	0.01245332	0.018453908	0.016217431	0.011349961	0.013431333
YKL163W	0.03010567	0.019571721	0.01532101	0.014737377	0.03662167	0.026810504	0.020305382	0.014215528	0.034480901	0.023229478	0.021861514	0.016534346
YKL164C	0.040026517	0.022559624	0.016835736	0.015928524	0.037984858	0.026474191	0.021548265	0.014209027	0.039325054	0.027915448	0.021582459	0.015236747
YKL165C	0.145076266	0.103978782	0.071982374	0.064143004	0.178638642	0.114656472	0.083545941	0.068881649	0.140851989	0.110616328	0.087989158	0.066578329
YKL165C-A	0.062301427	0.039177876	0.033474662	0.028985333	0.048320573	0.039561607	0.041293162	0.028612436	0.044335432	0.031053094	0.051257774	0.028569795
YKL166C	0.082604003	0.053781082	0.037739269	0.030554848	0.085096614	0.066053585	0.043134411	0.035205132	0.080894198	0.056521703	0.048089515	0.03337005
YKL167C	0.039338147	0.028253691	0.021650114	0.020250459	0.031240995	0.038286394	0.02681264	0.024312379	0.037134425	0.027854155	0.032124886	0.019498821
YKL168C	0.080985341	0.059880809	0.040963519	0.03811621	0.106671859	0.069398674	0.049568862	0.043868178	0.079356926	0.063689921	0.052751605	0.041450634
YKL171W	0.155519772	0.105525379	0.074849443	0.063152735	0.179770152	0.118512728	0.087623691	0.069904205	0.147595815	0.107483486	0.086934274	0.071293402
YKL172W	0.38852035	0.276278075	0.191393079	0.171281604	0.483870798	0.282472367	0.22079603	0.202781589	0.409600087	0.304042686	0.238265105	0.191789085
YKL173W	0.170780837	0.121377473	0.084727428	0.072166817	0.190110766	0.125386797	0.098872747	0.083174727	0.170024196	0.123018802	0.100119036	0.077207783
YKL174C	0.093098011	0.063911836	0.049527096	0.039911432	0.114673848	0.07267567	0.056136671	0.046733555	0.092786255	0.072369081	0.062674564	0.046436026
YKL175W	0.149689577	0.098749401	0.079150101	0.065198394	0.179965825	0.11776918	0.083913638	0.07819837	0.177559515	0.137578128	0.115047581	0.095458593
YKL176C	0.269767936	0.184565615	0.130863912	0.110397944	0.300482144	0.194097919	0.151580517	0.125028012	0.268060871	0.191878932	0.15298117	0.124305698
YKL179C	0.300102025	0.201648131	0.150510255	0.128596165	0.337925928	0.210966951	0.168088016	0.14877362	0.275261923	0.209910254	0.163698015	0.141095369
