Gene	ZOIBetaEstimate	ZOIBetaError	ZOIBetaLower95	ZOIBetaUpper95	ZOIBetaTrend	ZINegEstimate	ZINegError	ZINegLower95	ZINegUpper95	ZINegTrend
YAL001C	-2.66579910656491	0.950839820667727	-4.80283855272532	-0.543983276371443	negative	-0.599939124042027	0.185443951610187	-1.0024783967832	-0.17056239981595	negative
YAL002W	-2.65937347708703	0.976676414363259	-4.66993764890304	-0.626846814661311	negative	-0.624872107648999	0.20464181347699	-1.17198252953885	-0.237054222139817	negative
YAL003W	-2.61160000470653	1.05123082010161	-4.95244332795485	-0.585910581199725	negative	-0.599048607337449	0.146006569587408	-1.04346440377876	-0.308666724094052	negative
YAL007C	-2.72724745348387	0.957098308086594	-4.50558673260002	-0.871845471424355	negative	-0.603308563705964	0.181154452986591	-0.942449692631228	-0.174808936009747	negative
YAL008W	-2.2898632317612	1.00697750203244	-4.38823855396026	-0.20049420154877	negative	-0.421350244738512	0.334299315465432	-1.22799377246176	0.337983024653115	zero
YAL009W	-2.31588284603349	1.0393988894653	-4.3924255366517	0.110146652899163	zero	-0.429443871457409	0.3274596682321	-1.1534732652063	0.403353372119517	zero
YAL010C	-2.62103185753118	0.871645456550103	-4.47468817824289	-0.800220627515019	negative	-0.526656400167331	0.218638832749913	-0.982487104346143	0.055075970023247	zero
YAL011W	-2.48404010068867	0.924729461247316	-4.43299279393096	-0.598655506337109	negative	-0.535699618794998	0.140801043284046	-0.854442447370101	-0.24102458358178	negative
YAL012W	-2.92773252529654	1.27549762495994	-6.6072702258882	-0.795311995298362	negative	-0.62134716680867	0.234476453358657	-1.07139772526559	0.0461893207059096	zero
YAL013W	-2.61307128270714	0.944378541707977	-4.5493847319456	-0.638434535760737	negative	-0.605420431992302	0.20017844917791	-1.01253027343056	-0.253385846390705	negative
YAL014C	-2.76229426931438	0.970513735037037	-4.96038623439492	-0.798051508532593	negative	-0.624158661962956	0.186288779266501	-1.00026995183219	-0.199169717043095	negative
YAL015C	-2.70068393595541	1.0553440434384	-5.22279191339452	-0.469032373556642	negative	-0.618013292665504	0.237190687473331	-1.1744749191197	-0.109043138464069	negative
