Gene	Tx 0min Rep1	Tx 30min Rep1	Tx 60min Rep1	Tx 90min Rep1	Tx 0min Rep2	Tx 30min Rep2	Tx 60min Rep2	Tx 90min Rep2	Tx 0min Rep3	Tx 30min Rep3	Tx 60min Rep3	Tx 90min Rep3
YNR051C	51.9739	50.0127	52.7754	54.3971	54.4072	61.0118	54.355	53.5998	58.9279	52.8057	58.5955	57.2225
YNR052C	38.8916	39.5469	40.286	40.0358	43.1316	50.1018	41.5493	46.3517	46.012	41.3639	42.3378	46.8504
YNR053C	72.1838	76.0417	82.0688	72.6566	71.5648	75.1189	69.9865	69.2616	67.0038	66.034	65.511	60.2653
YNR054C	8.09731	12.1781	13.3169	14.6233	19.2047	21.5929	16.3735	17.8621	22.8339	17.3028	17.6463	18.2254
YNR055C	19.8568	20.5085	23.1375	22.2046	30.0794	32.0369	29.1362	32.2628	34.0993	29.9406	31.1055	33.5302
YNR056C	2.82292	2.63258	4.53941	17.7619	3.05489	3.7968	7.4274	18.8968	3.24371	3.33183	7.31474	21.784
YNR057C	4.22295	6.40591	8.66713	21.5835	10.5592	10.2539	12.824	34.2729	11.5834	10.8172	13.1893	40.915
YNR058W	7.09782	8.58199	15.6242	58.4128	10.8033	11.7218	23.1437	55.829	9.36926	10.1574	23.0781	67.7514
YNR059W	13.2475	12.7803	14.4614	16.5216	13.8422	17.0689	17.5275	19.4213	14.0918	17.0336	19.8162	20.8541
YNR060W	4.89444	2.54074	2.69598	2.31935	3.51651	3.91018	3.06391	2.90685	3.82133	3.95796	3.90029	3.04847
YNR061C	63.0542	53.7769	55.9036	53.239	55.8853	57.4286	54.934	56.3595	53.8074	55.2545	58.2939	52.9293
YNR062C	1.65221	2.95849	3.16561	4.81733	2.60418	2.96925	3.58624	4.18247	1.76161	2.1798	2.74202	4.46466
YNR063W	4.16685	4.31209	4.98583	4.44765	5.27063	5.61791	5.11676	5.82122	5.34354	5.38191	5.23979	5.89937
YNR064C	1.98752	3.77117	5.39333	7.38878	2.90071	5.20814	6.68251	11.2358	3.19545	4.32902	6.40389	10.5177
YNR065C	7.04667	6.13611	6.99174	7.80118	8.14901	8.64139	8.39987	9.09297	7.96402	7.71133	8.75983	9.88934
YNR066C	9.7804	8.63893	10.1329	9.6183	10.2654	11.8832	11.2097	11.4009	9.50968	8.68333	11.0755	10.6933
YNR067C	65.2061	57.167	60.9513	60.0439	67.4408	70.3172	63.7175	64.1017	63.4255	58.8831	62.7983	61.3687
YNR068C	7.02606	6.21879	8.5284	7.15029	10.4756	10.9453	10.9923	10.7391	9.8585	7.97482	9.47951	9.83229
YNR069C	5.75584	6.34296	5.54662	7.11406	8.87753	8.41238	7.75042	8.63529	8.27132	7.24743	8.32417	9.14982
YNR070W	0.826148	0.587337	0.597822	0.800907	0.853714	0.884904	0.788695	0.855035	1.2558	0.75452	1.07864	1.31647
YNR071C	0.795009	0.801971	0.745744	0.849097	1.01358	1.55104	0.803286	0.622291	0.697189	0.78818	0.846427	1.13449
YNR072W	0	0.0205999	0.0287335	0.0352322	0.0287761	0.0656203	0.0298833	0.0186487	0.179084	0.0773017	0.0841066	0.127493
YNR073C	0.225568	0.0472817	0.1319	0.0202166	0.181632	0.150614	0.137179	0.192614	0.123312	0.0739274	0.0413667	0
YNR074C	7.24505	6.7089	7.15871	7.40091	12.3238	12.3417	12.141	11.1447	16.943	14.6017	16.7871	16.2349
YNR075C-A	0	0	0	0	0	0	0	0	0	0	0	0
YNR075W	6.19399	6.90281	5.16986	7.29874	9.52381	10.6423	10.4575	9.48118	15.8744	15.7162	17.612	17.1728
YNR076W	0	0	0	0	0	0	0	0	0	0	0	0
YNR077C	0	0	0	0	0	0	0	0	0	0	0	0
YOL001W	15.7966	17.0819	17.7878	16.9819	16.7953	17.3135	18.5337	19.0423	14.5637	15.8926	18.1425	19.2219
YOL002C	34.487	29.6607	27.4633	34.1445	36.5344	33.7825	34.3851	32.5121	35.5927	38.5807	40.6626	35.4067
YOL003C	18.0108	18.4495	17.4991	17.3835	19.5634	18.8599	17.1288	20.3459	16.3597	16.1751	17.6479	16.4425
YOL004W	61.1056	56.9459	59.9797	58.4849	61.7047	69.4794	62.9495	65.2821	62.6434	59.3827	62.6692	64.9259
YOL005C	217.581	224.189	179.679	205.57	221.008	238.673	224.774	237.725	214.206	214.895	200.41	223.813
YOL006C	23.2427	24.252	26.3887	28.4268	32.2929	36.0258	30.7049	33.1416	35.1054	30.3444	35.8355	40.127
YOL007C	47.3859	46.9239	44.9174	40.0944	44.6895	52.0841	46.7705	47.9279	40.893	43.6611	42.999	47.8802
YOL008W	20.808	19.3023	17.1734	16.4385	21.3044	20.6854	18.7249	18.193	21.6832	17.6361	16.5401	17.4031
YOL009C	6.10628	5.72634	7.3278	7.99679	9.72373	9.83177	10.3265	9.65448	10.9611	10.6127	10.8779	12.5505
YOL010W	24.5686	29.7178	29.0597	29.8525	31.0008	31.2128	28.0494	30.9083	31.0444	31.3545	29.8711	33.4643
YOL011W	35.8478	41.4428	51.1332	57.7498	46.5934	61.0979	63.1714	71.3883	51.1338	53.401	64.0212	78.056
YOL012C	138.298	120.487	129.706	135.039	121.363	108.725	114.122	120.828	123.336	125.989	116.941	117.467
YOL013C	25.4521	23.7538	21.7636	27.1385	30.4018	32.9778	27.3487	29.9558	32.2637	28.5073	32.9205	32.7568
YOL013W-A	137.121	98.8012	64.3119	59.1432	112.713	26.2273	107.495	26.8328	88.7554	113.286	30.7346	48.9186
YOL013W-B	0.578763	1.33447	0.930684	0	0	0.531365	0	0	0	0.834607	1.16753	0.825908
YOL014W	20.3011	20.804	21.4338	14.5559	17.9981	20.1447	12.5175	14.7671	17.2637	19.8125	18.2014	18.4355
YOL015W	2.61454	2.8369	2.61053	3.18411	2.8208	3.09073	3.41518	2.7822	2.96292	2.82156	3.17145	3.51153
YOL016C	32.1379	30.93	34.0357	51.0854	50.1033	59.7701	60.6733	65.4078	59.7136	62.2181	81.1899	92.3966
YOL017W	5.16483	5.31022	5.43463	5.02472	5.76091	5.8929	6.27885	6.41437	5.84563	5.07993	6.47861	6.43688
YOL018C	8.99537	11.852	12.1348	15.8768	17.7889	20.9354	17.0787	18.3197	20.3602	17.4863	18.7161	21.7325
YOL019W	39.9228	42.4689	40.9285	38.8883	38.1501	41.8966	40.5701	42.3367	34.5091	35.8824	38.8971	40.3302
YOL019W-A	24.5231	4.71198	26.2897	20.1473	3.29109	26.2672	10.2532	0	20.4817	8.8409	16.49	11.665
YOL020W	37.2368	36.0565	43.9655	46.3008	49.0348	53.6143	48.5632	58.0032	51.2496	49.3383	49.0447	57.2586
YOL021C	31.8638	30.0144	32.3859	31.9035	35.1582	38.6328	34.4969	38.0868	35.664	34.9755	35.6618	38.1148
YOL022C	31.9934	36.5491	37.2153	33.6513	35.7814	36.6014	32.4526	32.4805	31.8797	33.2592	35.3165	29.331
YOL023W	8.4676	8.80921	9.32629	8.60533	10.1924	8.89233	8.1112	9.41236	7.99247	8.5935	9.63274	9.78677
YOL024W	2.00961	2.20648	2.46214	1.69819	1.77229	3.33862	2.40063	3.99496	1.91819	1.86297	2.31654	2.18495
YOL025W	12.4421	11.7157	11.5253	10.7827	11.6384	12.5312	12.4974	12.2233	9.88632	11.0124	13.1558	11.78
YOL026C	92.2276	79.7445	79.0673	82.9829	88.5794	89.0102	89.4324	87.2669	93.2692	104.354	89.4754	91.1761
YOL027C	63.5157	63.3566	64.7064	66.3714	66.4267	69.6192	65.873	70.9206	62.8491	66.513	73.129	70.5632
YOL028C	22.1391	22.0513	25.1501	25.4208	27.7402	29.9796	25.8914	27.2417	26.3722	26.4397	26.6828	30.0096
YOL029C	35.9702	33.3753	37.0097	32.2514	38.9877	39.802	37.8855	34.5194	36.9937	35.4851	36.8407	35.8383
YOL030W	94.5886	88.3992	88.8162	74.8557	89.707	98.3882	86.9421	90.1772	89.7113	87.1549	82.4474	87.1637
YOL031C	45.07	41.1519	36.1559	36.5437	44.106	43.2683	42.1278	41.1251	39.6709	42.187	45.9036	42.7081
YOL032W	19.7459	20.8876	18.6631	24.5927	22.8772	24.3968	25.0748	23.513	22.7376	24.9153	29.3805	29.9015
YOL033W	11.0408	9.55737	11.1955	10.3799	11.09	10.3804	10.9297	10.9487	9.75363	10.3134	11.4296	10.6932
YOL034W	8.41666	9.40865	9.5207	9.69197	10.31	10.895	9.98005	10.6068	10.5017	9.59433	11.4796	11.6217
YOL035C	0.939096	2.1653	1.51012	2.31459	0	0.431093	2.35582	0	0	0.677112	1.89442	1.34011
YOL036W	36.5686	34.3499	36.021	35.9647	34.4301	38.6745	37.6852	40.4423	30.9934	34.6803	36.5477	39.4414
YOL037C	0.492141	0	0.395695	0.485191	0.594423	0	0.41153	0.770444	0	0.354846	0.330929	0.702295
YOL038C-A	35.2274	20.3062	47.2063	46.3066	47.2764	0	49.0954	55.1483	17.6531	25.3998	51.3237	0
YOL038W	133.495	147.783	142.119	145.679	167.046	176.58	157.101	163.05	172.888	158.713	157.141	175.352
YOL039W	4752.79	4272.44	4549.96	4299.53	4281.39	4448.69	3994.66	3946.21	4398.5	4205.45	3702.68	3545.72
YOL040C	3625.47	3499.04	3471.39	3282.18	3157.87	3299.7	3030.07	3024.38	3127.04	3220.35	3147.21	2750.38
YOL041C	51.47	55.0713	54.994	52.9278	56.2529	49.9604	47.796	46.4453	47.647	50.3875	53.2896	46.5534
YOL042W	22.9567	21.8018	18.581	18.8856	17.8189	18.6566	17.6843	20.4084	17.3866	18.917	18.487	18.8073
YOL043C	2.36991	2.69887	3.9039	4.75836	7.86592	9.1809	8.36191	9.07914	10.5726	7.62692	9.09513	11.1356
YOL044W	11.6742	11.2816	12.1471	13.6533	10.967	12.0316	11.5086	11.7957	10.1231	11.2026	11.9675	12.6987
YOL045W	14.6304	13.7781	14.0126	14.4905	16.817	18.2433	16.7926	17.201	17.035	15.4486	18.0106	20.0336
YOL046C	0	0.0699237	0	0	0.0488383	0	0	0	0	0.0874634	0	0
YOL047C	1.60307	2.02932	2.22401	1.58044	1.34145	1.64494	1.55077	2.55881	1.41764	1.51848	2.34613	3.05016
YOL048C	19.809	20.5839	19.6557	22.8276	20.1383	21.8058	24.0986	24.4768	20.7497	21.3525	25.4374	25.0534
YOL049W	47.2534	46.6112	49.1675	54.6412	67.7226	81.7211	66.4721	65.2501	78.5943	65.1508	73.8007	75.9959
YOL050C	1.79013	0.412756	1.72718	1.41188	0.86487	1.64352	1.49691	3.36293	1.07648	1.80702	2.16672	2.04364
YOL051W	24.7601	22.0449	22.2092	21.6311	25.4354	31.7002	24.7848	26.5071	26.5782	23.4534	24.4523	29.7232
YOL052C	32.2561	27.6689	25.9348	26.7979	31.8482	33.694	27.9818	28.4831	32.3832	30.9308	27.7763	26.4986
YOL052C-A	748.654	1031.51	1414.31	1650.18	921.402	857.78	1705.03	1756.43	863.184	1022.55	1506.15	1654.63
YOL053W	8.25488	8.02581	9.51326	9.92874	11.7209	12.6567	11.1595	10.9702	11.5275	10.158	10.8796	10.8768
YOL054W	4.25313	5.8533	5.6424	6.15857	9.31093	10.2013	8.26882	10.4035	10.1771	8.3182	9.72374	11.5696
YOL055C	8.88805	9.69629	9.71534	10.0298	11.4302	13.0664	11.7472	12.6876	11.2085	11.5062	12.6323	13.8103
YOL056W	15.2766	15.8148	13.2229	14.792	17.3533	15.564	15.1533	15.5369	14.8421	15.3702	18.8939	14.7373
