Gene	Tx 0min Rep1	Tx 20min Rep1	Tx 40min Rep1	Tx 60min Rep1	Tx 0min Rep2	Tx 20min Rep2	Tx 40min Rep2	Tx 60min Rep2	Tx 0min Rep3	Tx 20min Rep3	Tx 40min Rep3
YFR037C	34.4129	41.2663	37.8219	32.0613	36.5261	37.723	40.7031	40.6909	44.1415	36.6573	41.0134
YFR038W	18.5338	22.0384	20.5516	20.9912	20.6602	21.0894	23.7267	24.147	21.8699	20.985	23.137
YFR039C	28.1056	30.5373	29.1479	28.5886	28.8869	31.3157	32.2721	32.9851	34.0415	30.1743	34.3195
YFR040W	31.0326	33.3511	33.4231	31.7907	30.9637	30.3017	31.749	33.5339	32.5625	30.7922	34.6624
YFR041C	35.4792	38.2171	40.5567	37.9911	30.4502	32.6363	34.5273	34.5083	35.6868	33.3296	38.7112
YFR042W	29.0207	31.7718	33.7884	31.1657	25.5497	28.4469	28.3695	29.8801	27.0096	30.0454	29.8025
YFR043C	18.5883	21.7822	22.0481	22.222	20.9392	20.1204	19.2474	20.1792	19.2179	16.2362	20.7848
YFR044C	190.786	220.697	196.6	169.373	175.747	168.874	190.564	185.339	180.045	173.237	192.544
YFR045W	9.57277	11.4971	11.0472	11.0323	8.80034	8.84445	11.5379	9.58248	9.38283	11.7605	14.0869
YFR046C	11.0918	10.3689	11.2282	10.9978	10.5053	10.5807	11.8328	11.5419	9.76385	9.99524	11.4614
YFR047C	49.4158	56.5639	56.3783	51.6552	51.5463	52.1957	62.3229	67.2477	52.2078	54.0459	59.6018
YFR048W	13.7821	14.9753	13.8166	14.3668	13.7138	14.2703	15.461	15.1609	14.5559	14.2922	14.5601
YFR049W	81.8667	88.9147	106.506	83.4597	77.3698	90.0005	100.263	98.9998	95.4277	89.1678	105.028
YFR050C	120.893	135.235	131.302	112.154	122.19	124.165	128.046	129.461	135.929	132.336	140.115
YFR051C	92.452	104.086	97.4186	81.1377	88.2086	90.3009	94.8123	92.0437	93.1367	91.7635	94.9361
YFR052C-A	431.619	594.668	665.743	387.316	280.649	363.37	524.387	408.909	434.695	413.587	692.621
YFR052W	112.37	113.922	115.324	119.075	90.801	94.3585	98.2587	98.6314	105.185	104.991	106.865
YFR053C	253.67	318.646	356.398	249.037	149.127	178.185	262.027	229.979	227.911	237.066	352.395
YFR054C	1.49924	2.63621	2.51707	1.84595	2.47863	2.66923	3.10109	3.94202	1.89418	1.93228	2.31981
YFR055W	24.6284	23.8709	22.3526	19.7925	33.065	31.0347	29.6032	30.2803	28.7744	24.9789	24.2631
YFR056C	0.727573	0.517827	0.395539	0.376027	0	0.396776	0.289084	0	0	0.425102	0
YFR057W	0	0	0	0	0.0759891	0	0	0	0	0	0
YGL001C	131.599	154.844	141.002	124.103	111.267	108.898	114.876	115.042	113.761	119.092	118.6
YGL002W	34.8222	39.3137	40.8527	41.3069	35.9984	37.9011	38.8323	41.2191	34.3235	37.6247	39.3362
YGL003C	14.7719	18.1026	16.2956	13.0367	15.5889	15.2808	16.3416	15.8327	15.45	13.9476	17.3162
YGL004C	10.2222	13.7881	12.4683	12.3696	11.6447	13.0048	14.7563	14.1747	13.8446	12.3343	13.854
YGL005C	25.5082	30.5965	29.5952	32.1055	27.6269	27.7945	28.4682	30.1302	27.9302	28.0093	30.4807
YGL006W	34.1268	45.4321	45.8695	40.7254	30.6569	34.9571	38.1454	38.4749	36.0671	37.9904	43.9796
YGL006W-A	0	0	0	0	3.29309	0	0	4.46463	0	0	5.0084
YGL007C-A	34.6079	24.6311	62.0872	75.122	48.6333	50.9575	70.1283	25.3596	33.0363	42.4631	17.0689
YGL007W	0.451208	1.12397	0.551915	0.699586	0.731616	0.553642	0.268916	1.32252	0.538398	0.98861	0.7418
YGL008C	2343.78	2684.56	2209.15	1860.7	2316.32	2181.73	2386.33	2413.66	2389.24	2224.18	2348.47
YGL009C	631.997	659.441	551.576	485.167	570.506	549.362	541.754	539.639	599.848	552.304	547.942
YGL010W	19.402	26.1165	28.9776	25.668	18.2374	21.3914	22.1213	24.4164	20.7186	22.0868	27.7369
YGL011C	142.604	138.493	152.678	138.997	129.57	127.155	138.727	137.697	138.18	143.084	140.208
YGL012W	240.217	274.038	236.676	199.612	232.178	222.986	251.201	249.727	224.09	229.86	248.429
YGL013C	28.0699	31.3917	31.6833	28.5339	29.3643	30.0359	32.4678	33.9135	29.1541	28.9811	32.2614
YGL014C-A	0	0	0	0	0	0	2.55177	0	0	0	0
YGL014W	39.7066	41.9316	38.8865	36.679	42.5054	41.381	41.0027	40.57	37.8288	37.5208	37.4973
YGL015C	1.21262	1.72609	2.30731	2.82021	1.52928	1.81856	2.40904	3.70238	1.60772	0.88563	1.49519
YGL016W	27.1317	31.0869	27.6363	27.3269	27.9797	27.0952	27.4847	28.3987	26.2487	27.5997	29.5586
YGL017W	12.6735	12.9231	13.3976	11.0933	12.5913	12.9117	14.0491	14.8081	14.2243	12.4401	13.5053
YGL018C	25.5839	26.0606	23.965	24.6998	23.3376	20.2278	23.2401	27.4586	22.6972	22.6721	26.2685
YGL019W	73.2028	81.549	71.3182	58.8982	71.0781	68.9501	83.0971	79.645	76.9341	71.0528	78.4416
YGL020C	38.4235	40.4785	38.9852	40.9452	39.9926	42.1672	41.5677	42.0939	46.8066	40.732	49.5661
YGL021W	24.4528	26.4667	25.3542	25.368	26.309	27.6807	27.2115	27.7213	26.6796	26.7351	29.0394
YGL022W	137.232	158.529	129.396	101.054	131.535	123.101	140.27	132.593	123.133	122.585	127.301
YGL023C	26.9978	33.7228	30.0982	26.8319	31.8862	34.0381	37.2098	36.4041	36.3664	30.8564	34.2768
YGL024W	4.01304	4.99827	3.8179	1.81478	7.22998	6.83901	7.37452	4.16589	5.85262	5.27561	4.94817
YGL025C	13.7046	13.5457	13.5111	13.1311	14.0819	15.9215	15.5647	15.7968	14.3806	14.413	14.4551
YGL026C	300.839	333.177	283.307	239.346	350.501	331.439	341.444	333.602	325.56	304.156	303
YGL027C	41.7232	45.9218	45.7372	41.0776	42.309	44.4327	48.0396	50.3279	48.4293	44.6612	49.9804
YGL028C	94.6267	83.4227	78.8843	68.0773	97.5358	74.8873	85.6822	80.8986	76.8516	72.1935	77.0912
YGL029W	39.8249	31.0695	46.0073	64.7161	56.0198	50.5367	48.2314	62.1063	55.4407	41.8389	52.2529
YGL030W	5100.15	5002.48	4335.52	4086.45	4837.67	4561.92	4462.38	4247.62	4920.18	4728.82	4326.47
YGL031C	2156.81	2094.58	1971.3	2003.14	2183.2	1978.56	1862.5	1950.09	2039.84	1893.51	1880.86
YGL032C	364.81	419.303	454.67	450.814	466.746	432.932	480.928	462.825	428.808	449.523	457.429
YGL033W	0	0.0507674	0.46534	0.387087	0.0385533	0.175049	0.212562	0.156807	0.226972	0.312575	0.11727
YGL034C	0.248743	0.354069	0.405681	0.578503	0.67221	0.610425	1.33423	0.546812	1.38511	1.09	0.817881
YGL035C	29.4248	28.4028	27.744	26.1972	27.5333	29.2411	30.3881	29.0575	29.3869	26.1307	30.7069
YGL036W	19.5075	20.9636	23.1489	21.0521	18.8174	23.7394	23.2806	22.6322	20.0531	20.9827	24.8777
