gene,assay,estimate,est_error,lower_95,upper_95,eff_sample,rhat,seed,run_limit_stop,is_pos,is_neg,category,attempts
YAL001C,writer_loss,-0.599939124042027,0.185443951610187,-1.0024783967832,-0.17056239981595,946.770037732159,1.00232909989965,126,FALSE,FALSE,TRUE,negative,4
YAL001C,writer_eraser_loss,-0.411080920236926,0.262914494909947,-0.925022194527545,0.220212348999273,815.370445346202,1.01147633665427,126,FALSE,FALSE,FALSE,zero,4
YAL001C,writer_add,1.55979894939122,0.306656189892575,0.873313130679361,2.19945111741819,847.09820666805,1.00935874544183,126,FALSE,TRUE,FALSE,positive,4
YAL002W,writer_loss,-0.624872107648999,0.20464181347699,-1.17198252953885,-0.237054222139817,755.437985753656,1.00324674694599,124,FALSE,FALSE,TRUE,negative,2
YAL002W,writer_eraser_loss,-0.41352419553404,0.231711057446587,-0.89129310184305,0.177861991063926,720.867804338051,1.00164585122775,124,FALSE,FALSE,FALSE,zero,2
YAL002W,writer_add,1.57724891145891,0.35055261156732,0.890938108918823,2.34590662249874,1118.39183335904,1.00156215100229,124,FALSE,TRUE,FALSE,positive,2
YAL003W,writer_loss,-0.599048607337449,0.146006569587408,-1.04346440377876,-0.308666724094052,321.111529110586,1.00879621917059,124,FALSE,FALSE,TRUE,negative,2
YAL003W,writer_eraser_loss,-0.407785590433772,0.346974277809534,-1.07758005659017,0.37117008812801,68.459649882578,1.05210674203041,124,FALSE,FALSE,FALSE,zero,2
YAL003W,writer_add,1.21680411252327,0.386318855496314,0.334678422243596,1.99050911029048,368.063033080851,1.00649990472043,124,FALSE,TRUE,FALSE,positive,2
YAL007C,writer_loss,-0.603308563705964,0.181154452986591,-0.942449692631228,-0.174808936009747,659.072882670943,1.00441492701249,123,FALSE,FALSE,TRUE,negative,1
YAL007C,writer_eraser_loss,-0.388832919489791,0.238126584517021,-0.996788891227803,0.106186235807389,496.397221646226,1.00694635773642,123,FALSE,FALSE,FALSE,zero,1
YAL007C,writer_add,1.57226785478452,0.393278025670418,0.807548618148586,2.48513207488833,403.183063917532,1.01073323638021,123,FALSE,TRUE,FALSE,positive,1
YAL008W,writer_loss,-0.421350244738512,0.334299315465432,-1.22799377246176,0.337983024653115,317.193810823564,1.01543742633591,123,FALSE,FALSE,FALSE,zero,1
YAL008W,writer_eraser_loss,-0.454468831809608,0.32434566276276,-1.18792577048237,0.191641225475116,654.617111590023,1.00379049499976,123,FALSE,FALSE,FALSE,zero,1
YAL008W,writer_add,1.2756262207146,0.388734584007885,0.456610721092576,2.2881411825577,308.492909110434,1.01539198930661,123,FALSE,TRUE,FALSE,positive,1
YAL009W,writer_loss,-0.429443871457409,0.3274596682321,-1.1534732652063,0.403353372119517,278.317754175947,1.0038432431087,123,FALSE,FALSE,FALSE,zero,1
YAL009W,writer_eraser_loss,-0.446350500381794,0.492027933532972,-2.06987038066946,0.304301448083603,54.29251032283,1.08493800183723,123,FALSE,FALSE,FALSE,zero,1
YAL009W,writer_add,1.03341710727494,0.448743677151567,0.137445091546402,1.94717358463037,64.8046076731331,1.07139197142141,123,FALSE,TRUE,FALSE,positive,1
YAL010C,writer_loss,-0.526656400167331,0.218638832749913,-0.982487104346143,0.055075970023247,98.6503210178139,1.04462939794384,128,FALSE,FALSE,FALSE,zero,6
YAL010C,writer_eraser_loss,-0.419695302517276,0.307443645089765,-1.13083653570782,0.166073513694759,552.620186620014,1.00893982828492,128,FALSE,FALSE,FALSE,zero,6
YAL010C,writer_add,1.62503473076198,0.342800550880156,0.895107783403513,2.39746695821678,1285.52178687529,1.00150442899481,128,FALSE,TRUE,FALSE,positive,6
YAL011W,writer_loss,-0.535699618794998,0.140801043284046,-0.854442447370101,-0.24102458358178,965.014966748007,1.00307607208317,124,FALSE,FALSE,TRUE,negative,2
YAL011W,writer_eraser_loss,-0.399709585948456,0.214420652555497,-0.88324088692832,0.0642311865875762,884.956928297739,1.00402015738738,124,FALSE,FALSE,FALSE,zero,2
YAL011W,writer_add,1.49257065355893,0.429440235536892,0.14152554189418,2.4106061130593,121.82290874025,1.02711243117068,124,FALSE,TRUE,FALSE,positive,2
YAL012W,writer_loss,-0.62134716680867,0.234476453358657,-1.07139772526559,0.0461893207059096,125.288413957246,1.03448096315591,125,FALSE,FALSE,FALSE,zero,3
YAL012W,writer_eraser_loss,-0.41785415796881,0.178444231682697,-0.819399683787905,-0.0328888333164212,1793.14336595674,1.00170678907318,125,FALSE,FALSE,TRUE,negative,3
YAL012W,writer_add,1.34406859580855,0.419855407848566,0.570659771070249,2.39044397848199,361.133419951371,1.0108548929663,125,FALSE,TRUE,FALSE,positive,3
YAL013W,writer_loss,-0.605420431992302,0.20017844917791,-1.01253027343056,-0.253385846390705,293.501545791661,1.01061487341628,125,FALSE,FALSE,TRUE,negative,3
YAL013W,writer_eraser_loss,-0.387982972092854,0.207775067542056,-0.834951591470684,0.0606189022505714,629.8260915928,1.01281674713924,125,FALSE,FALSE,FALSE,zero,3
YAL013W,writer_add,1.3509448089178,0.349780588870473,0.312764739594378,2.01429155867055,257.949721738081,1.03072385394647,125,FALSE,TRUE,FALSE,positive,3
YAL014C,writer_loss,-0.624158661962956,0.186288779266501,-1.00026995183219,-0.199169717043095,806.318837285993,1.00401464692592,123,FALSE,FALSE,TRUE,negative,1
YAL014C,writer_eraser_loss,-0.464377279478796,0.227968421641577,-0.970080264958386,0.0258806787553021,1954.52379607496,1.00111130215946,123,FALSE,FALSE,FALSE,zero,1
YAL014C,writer_add,1.5070690817369,0.368727134117916,0.759619034874212,2.40244544508407,430.712735717256,1.0110663208715,123,FALSE,TRUE,FALSE,positive,1
YAL015C,writer_loss,-0.618013292665504,0.237190687473331,-1.1744749191197,-0.109043138464069,724.535370504101,1.00469081048566,127,FALSE,FALSE,TRUE,negative,5
YAL015C,writer_eraser_loss,-0.343727134308016,0.395271045870551,-0.963120135041407,1.01363455597348,52.8292264864284,1.06634595947319,127,FALSE,FALSE,FALSE,zero,5
YAL015C,writer_add,1.38384235199513,0.317697217361498,0.796423190559919,2.03576111340972,672.859019427134,1.01137528265547,127,FALSE,TRUE,FALSE,positive,5
