Gene	rph1d_RNA_Rep1	rph1d_RNA_Rep2	rph1d_RNA_Rep3
YAL069W	0	0	0
YAL068W-A	0	0	0
YAL068C	0	0.318665	0
YAL067W-A	0	0	0
YAL067C	0.437757	0.61613	0.50182
YAL066W	0	0	0
YAL065C	2.12752	2.89571	3.07562
YAL064W-B	3.49522	2.20169	4.62217
YAL064C-A	6.0372	9.08199	4.4212
YAL064W	0	0	1.32813
YAL063C-A	0.93951	0.813742	0.594207
YAL063C	0.676494	0.683591	0.755883
YAL062W	7.90385	8.3958	7.19183
YAL061W	5.59235	5.45823	5.06789
YAL060W	36.4901	36.772	33.7191
YAL059C-A	36.1574	44.4704	35.3696
YAL059W	56.6763	58.1247	52.6464
YAL058W	13.9143	12.7148	12.0846
YAL056C-A	19.326	22.0811	20.285
YAL056W	14.0159	14.78	13.3744
YAL055W	10.129	11.3679	10.7372
YAL054C	4.2984	4.83605	3.7836
YAL053W	29.9163	31.7675	30.0213
YAL051W	9.90976	10.8545	10.8125
YAL049C	56.0088	54.7135	50.8439
YAL048C	7.25559	6.20081	5.961
YAL047W-A	2.06981	2.6891	3.27271
YAL047C	6.13605	6.23406	5.19082
YAL046C	83.4961	70.6371	69.5106
YAL045C	51.9156	52.1605	56.0381
YAL044W-A	67.3775	71.7587	65.0257
YAL044C	116.454	112.974	119.975
YAL043C	24.7996	24.2359	22.7286
YAL042C-A	83.235	83.6388	96.8552
YAL042W	104.92	103.093	107.702
YAL041W	20.8989	22.0383	19.8725
YAL040C	26.6142	27.3068	24.1835
YAL039C	27.887	28.1687	26.6218
YAL038W	3284.77	3331.86	3160.63
YAL037C-B	2632.22	2593.1	2437.87
YAL037C-A	19.3589	8.38369	6.1219
YAL037W	2.64503	2.8146	3.44137
YAL036C	79.5497	75.8204	74.344
YAL035W	162.847	163.265	151.397
YAL034C-B	23.168	26.9861	19.453
YAL034W-A	6.28126	6.5519	6.15124
YAL034C	9.67257	8.96309	9.16298
YAL033W	22.8918	21.2911	27.4018
YAL032C	15.7226	17.2058	14.8564
YAL031W-A	33.226	26.38	27.1434
YAL031C	10.3722	9.84106	9.14237
YAL030W	144.6	124.551	153.35
YAL029C	31.0418	31.5418	29.9713
YAL028W	2.72721	2.85085	2.77564
YAL027W	7.73244	8.18563	7.45924
YAL026C-A	30.4029	31.9071	29.7554
YAL026C	25.7323	27.2816	26.0132
YAL025C	46.2492	43.7341	47.9227
YAL024C	8.72126	9.08423	8.43722
YAL023C	132.643	133.524	124.382
YAL022C	25.2941	28.3108	25.8564
YAL021C	43.4611	40.6103	39.0003
YAL020C	9.19062	7.71909	8.31398
YAL019W-A	2.74391	3.96099	3.22293
YAL019W	31.2004	30.6023	30.7925
YAL018C	0	0.0498326	0.072777
YAL017W	16.7792	16.263	14.5893
YAL016C-B	133.386	98.4147	149.977
YAL016C-A	47.4294	46.0099	54.7953
YAL016W	51.7014	53.3861	51.9032
YAL015C	9.83513	8.40394	8.14506
YAL014C	25.3757	27.9984	28.5206
YAL013W	9.69572	8.88517	10.5945
YAL012W	302.919	306.032	283.779
YAL011W	7.82723	7.20315	7.32796
YAL010C	7.89188	8.63268	8.73484
YAL009W	14.1389	16.6247	12.5392
YAL008W	22.8997	24.1143	20.3528
YAL007C	110.691	118.18	103.117
YAL005C	317.066	316.615	298.731
YAL004W	266.478	279.334	279.234
YAL003W	2820.19	2884.46	2668.98
YAL002W	8.42137	8.635	8.44925
YAL001C	10.2198	10.2109	9.68728
YAR002W	31.8164	33.2543	30.5905
YAR002C-A	149.095	138.152	145.932
YAR003W	13.737	14.7846	14.2404
YAR007C	31.0225	33.5197	29.1521
YAR008W	12.3148	11.9211	11.179
YAR009C	1.28012	1.3479	1.42876
YAR010C	0.0390527	0	0
YAR014C	26.7131	29.3173	29.7568
YAR015W	76.3331	79.3593	69.634
YAR018C	13.2284	14.1676	11.9235
YAR019C	5.84626	5.82388	4.9466
YAR019W-A	1.49728	3.02597	0.946976
YAR020C	70.3357	15.23	37.0707
YAR023C	4.32398	4.49418	5.92533
YAR027W	21.6566	21.7651	22.4817
YAR028W	11.4055	10.6753	11.3439
YAR029W	58.0265	39.678	28.9735
YAR030C	13.9793	12.8891	13.1195
YAR031W	3.17159	3.19552	2.49716
YAR033W	2.75938	2.629	3.02504
YAR035W	4.1596	4.04311	3.37619
YAR035C-A	0	0	0
YAR042W	25.6864	25.6858	24.5765
YAR047C	8.1366	12.0812	15.8059
YAR050W	0.74949	0.707417	0.644189
YAR053W	0	0	0
YAR060C	0	0	0
YAR064W	8.81728	10.414	11.6602
YAR066W	0.115544	1.20092	0.584622
YAR068W	0.176973	1.22626	1.11929
YAR069C	0	0	0
YAR070C	0	0.694269	0.506966
YAR071W	0.508395	0.534697	0.643084
YAR073W	0.0871083	0.113171	0.192825
YAR075W	0.186412	0.161458	0
YBL113C	1.27994	0.869824	0.797062
YBL113W-A	0.537726	0.776238	1.24701
YBL112C	0	0	0
YBL111C	0	0	0
YBL109W	0.96392	1.25233	0.304823
YBL108C-A	0	0	0
YBL108W	0	0	0
YBL107W-A	0	0	0
YBL107C	14.8394	14.4462	15.2027
YBL106C	6.82472	6.51137	6.77473
YBL105C	17.9829	18.8946	17.8585
YBL104C	9.79831	9.36066	10.0541
YBL103C	10.5549	10.3109	9.47714
YBL102W	60.4436	55.9032	56.9106
YBL101C	13.6837	14.2153	13.4729
YBL100W-C	83.2594	57.6911	73.7221
YBL100W-A	0.274905	0.340149	0.124191
YBL100W-B	0.877946	0.918242	0.722898
YBL100C	385.127	458.456	381.167
YBL099W	257.121	273.676	228.967
YBL098W	9.09866	9.32225	8.60848
YBL097W	3.34958	4.43288	3.46065
YBL096C	8.99871	16.7873	12.2583
YBL095W	10.9319	12.9467	11.8996
YBL094C	23.4574	20.7495	22.7274
YBL093C	63.6231	59.4936	63.4347
YBL092W	5753.42	5590.47	5991.65
YBL091C-A	18.9418	17.4478	17.875
YBL091C	78.2764	78.7284	71.9391
YBL090W	31.1994	36.073	35.835
YBL089W	11.385	10.696	10.4842
YBL088C	7.32381	7.90128	7.46947
YBL087C	1616.19	1451.58	1528.93
YBL086C	11.4687	12.1093	11.2833
YBL085W	17.3593	17.6246	16.7494
YBL084C	6.51476	6.73536	6.51408
YBL083C	36.4925	33.4546	29.3748
YBL082C	20.4879	20.4506	19.6603
YBL081W	23.7088	25.0231	20.622
YBL080C	4.66029	5.22363	4.85466
YBL079W	37.3841	39.0227	37.6923
YBL078C	15.5785	16.6068	16.4214
YBL077W	296.12	344.421	332.388
YBL076C	282.188	295.626	277.911
YBL075C	9.39456	9.29022	8.5461
YBL074C	10.8057	9.98021	10.138
YBL073W	11.9003	8.01676	7.52652
YBL072C	357.342	325.618	427.283
YBL071C-B	0	0	0
YBL071W-A	368.331	410.431	438.43
YBL071C	173.052	139.095	149.727
YBL070C	18.0168	22.1489	22.7899
YBL069W	16.076	16.5413	16.3088
YBL068W-A	83.7292	92.2992	110.726
YBL068W	41.828	42.1841	42.2551
YBL067C	25.2707	28.7164	26.3145
YBL066C	5.29857	5.4526	5.14287
YBL065W	2.18436	1.89195	1.10522
YBL064C	41.7864	41.6723	42.9771
YBL063W	5.77441	6.43712	5.6887
YBL062W	22.8778	30.5485	22.7089
YBL061C	18.7854	19.0909	18.5633
YBL060W	5.10706	5.76444	5.51006
YBL059C-A	71.9259	74.8467	74.945
YBL059W	8.43891	9.16381	9.24072
YBL058W	74.9883	77.521	74.1362
YBL057C	56.9221	59.105	63.6513
YBL056W	69.5422	74.2559	71.3349
YBL055C	28.5443	28.9038	27.1851
YBL054W	30.4234	34.7972	31.657
YBL053W	20.9713	17.8757	20.2112
YBL052C	11.9463	12.4488	12.1126
YBL051C	33.8309	36.6379	31.9443
YBL050W	39.8788	39.5571	38.5698
YBL049W	11.4843	13.4067	11.8425
YBL048W	8.59466	8.58939	9.61722
YBL047C	64.9643	68.3025	62.0739
YBL046W	7.16569	6.94852	7.66014
YBL045C	76.4661	80.3413	67.5796
YBL044W	1.04856	0.605465	0
YBL043W	0.719016	1.24553	0.555809
YBL042C	47.8914	48.4808	43.1484
YBL041W	115.716	113.63	117.009
YBL040C	59.6994	65.9383	61.3805
YBL039W-B	99.6671	77.2383	169.202
YBL039C	189.937	200.985	193.412
YBL039C-A	597.223	587.415	569.785
YBL038W	24.5131	28.9816	26.763
YBL037W	11.3419	12.0836	10.549
YBL036C	36.6698	37.2967	39.9172
YBL035C	14.5195	14.6361	13.9804
YBL034C	8.07002	8.72447	8.24303
YBL033C	26.367	25.9222	23.6022
YBL032W	72.8969	73.9519	67.1313
YBL031W	10.7587	10.4537	9.11874
YBL030C	207.047	205.807	177.972
YBL029C-A	57.7481	94.5788	70.391
YBL029W	2.80569	3.45981	3.6693
YBL028C	258.046	309.582	290.02
YBL027W	2448.48	2478.79	2456.45
YBL026W	307.759	355.128	361.666
YBL025W	14.8685	12.4937	15.8602
YBL024W	82.5615	85.3888	77.6281
YBL023C	14.0876	14.6976	14.1636
YBL022C	56.1762	60.5581	52.0785
YBL021C	23.4518	23.0468	26.9551
YBL020W	22.5626	24.8832	20.6682
YBL019W	4.94757	5.6676	4.86534
YBL018C	53.7304	61.7338	58.9494
YBL017C	36.5725	37.2986	35.2043
YBL016W	31.831	33.781	30.5732
YBL015W	21.1917	21.3822	21.2098
YBL014C	14.0842	14.5103	13.7645
YBL013W	5.30309	5.76996	4.18559
YBL012C	28.51	29.9171	32.4222
YBL011W	42.6448	44.055	37.6423
YBL010C	10.2385	10.5192	9.33366
YBL009W	12.757	12.7005	11.7452
YBL008W-A	4.83045	2.09191	3.05509
YBL008W	11.0851	11.8058	11.1288
YBL007C	71.7332	72.3329	68.2738
YBL006C	39.232	44.4832	42.8586
YBL006W-A	305.525	341.073	266.233
YBL005W	10.9783	12.6105	11.2063
YBL005W-A	5.97507	7.54296	6.34776
YBL005W-B	10.4543	11.675	10.3646
YBL004W	51.6962	56.3729	52.5593
YBL003C	598.102	616.122	505.255
YBL002W	799.478	773.761	747.093
YBL001C	258.648	267.296	275.976
YBR001C	5.96891	6.00261	5.70069
YBR002C	26.3855	26.593	27.4808
YBR003W	29.1417	30.3198	27.4318
YBR004C	14.3394	13.6273	15.5687
YBR005W	14.4078	15.0673	15.7273
YBR006W	14.7557	16.3986	15.2771
YBR007C	5.9857	7.07303	6.24647
YBR008C	9.99063	10.1344	8.72856
YBR009C	1332.17	1181.9	1181.25
YBR010W	687.652	628.115	644.022
YBR011C	981.048	999.403	974.563
YBR012C	4.41501	7.01066	7.44624
YBR012W-A	0.468633	0.20295	0.370492
YBR012W-B	0.826826	0.896987	0.707815
YBR013C	18.7403	22.6728	25.3984
YBR014C	35.8188	35.027	35.5889
YBR015C	59.3169	59.512	54.926
YBR016W	101.513	99.2438	98.8043
YBR017C	45.0365	47.322	44.4024
YBR018C	0.689198	1.57762	0.934057
YBR019C	3.37626	3.59158	3.62582
YBR020W	3.47955	3.31242	3.13251
YBR021W	8.09419	7.38427	6.5636
YBR022W	16.1884	12.8741	16.3817
YBR023C	28.0263	28.5905	27.0824
YBR024W	12.0657	12.9387	13.0415
YBR025C	352.569	352.8	346.98
YBR026C	39.503	36.5718	39.1974
YBR027C	3.49365	4.7551	5.05054
YBR028C	15.8113	18.533	17.8445
YBR029C	44.7015	44.0133	41.2882
YBR030W	16.5986	16.9273	16.5372
YBR031W	555.041	538.086	516.239
YBR032W	10.6711	10.563	12.0519
YBR033W	5.04447	5.10704	4.50044
YBR034C	127.667	132.611	122.73
YBR035C	84.5556	77.8812	73.283
YBR036C	55.0284	54.7873	50.5204
YBR037C	15.228	15.1224	14.5298
YBR038W	18.7417	18.3633	17.0625
YBR039W	137.428	143.461	122.674
YBR040W	0.776715	0.953048	1.14624
YBR041W	29.105	27.9319	25.9096
YBR042C	24.6774	21.2201	21.1937
YBR043C	11.977	11.2315	10.3866
YBR044C	12.0407	11.4668	11.2966
YBR045C	1.20482	1.28267	0.841378
YBR046C	10.2637	9.61057	11.7548
YBR047W	9.32058	11.7187	9.69813
YBR048W	1669.2	1608.41	1552.32
YBR049C	29.9398	31.4709	29.6488
YBR050C	2.1299	2.08129	1.8652
YBR051W	1.23357	2.13688	1.82045
YBR052C	83.0114	87.3196	75.8513
YBR053C	32.1661	32.3793	33.0309
YBR054W	90.2353	95.4418	87.9179
YBR055C	13.0055	14.0065	13.0526
YBR056W	34.1681	37.1372	33.4703
YBR056W-A	16.7565	14.5134	29.1443
YBR056C-B	50.6019	21.914	12.0015
YBR057C	21.1682	20.168	18.6811
YBR058C	24.5815	25.0329	24.0858
YBR058C-A	617.742	632.51	578.062
YBR059C	23.1379	21.9998	21.994
YBR060C	16.1118	16.3183	14.8908
YBR061C	34.9522	38.6648	36.1841
YBR062C	20.258	25.7014	25.4445
YBR063C	11.6797	12.2221	11.2864
YBR064W	7.68948	10.2929	9.57928
YBR065C	12.3448	12.9681	13.4831
YBR066C	16.4123	16.9355	18.646
YBR067C	240.624	228.563	224.583
YBR068C	69.7452	69.5769	65.6889
YBR069C	122.027	129.301	112.481
YBR070C	17.0476	18.828	16.5439
YBR071W	24.2769	22.2474	24.9507
YBR072W	12.604	13.4854	17.4169
YBR072C-A	0	0	0
YBR073W	26.1902	25.2139	25.4068
YBR074W	27.6333	30.8422	28.2581
YBR076W	1.02801	1.24655	1.30035
YBR076C-A	50.3913	44.9294	37.495
YBR077C	34.4279	33.9061	32.8274
YBR078W	510.644	517.769	456.646
YBR079C	123.704	122.397	115.633
YBR080C	35.8829	36.4892	34.5325
YBR081C	10.7709	11.5184	11.4527
YBR082C	480.434	506.94	469.05
YBR083W	21.5596	24.0088	23.2442
YBR084W	107.964	110.028	103.495
YBR084C-A	1671.56	1689.53	1647
YBR085W	5.21953	4.68227	4.95175
YBR085C-A	180.973	263.274	220.028
YBR086C	70.2927	75.473	66.6456
YBR087W	25.5459	24.7974	27.3074
YBR088C	73.1613	74.7888	69.6842
YBR089W	51.3827	59.2011	54.566
YBR089C-A	217.226	242.3	225.093
YBR090C	13.9809	13.623	15.2531
YBR091C	49.158	51.093	51.0542
YBR092C	144.675	149.118	140.238
YBR093C	9.22375	10.6939	9.11802
YBR094W	19.044	20.1401	18.3042
YBR095C	11.8918	13.6404	13.2636
YBR096W	56.8682	61.8557	57.2367
YBR097W	8.41706	8.9849	8.49439
YBR098W	5.46379	5.68681	4.87857
YBR099C	8.07784	6.4583	4.91245
YBR101C	32.4652	40.6943	37.3677
YBR102C	14.6893	14.9787	13.7183
YBR103W	10.3391	10.6658	10.4625
YBR103C-A	14.197	6.14826	0
YBR104W	21.8487	21.5713	23.3053
YBR105C	30.009	29.2786	23.9377
YBR106W	634.811	670.011	630.23
YBR107C	11.665	12.9265	11.1751
YBR108W	9.22899	9.64546	8.85263
YBR109C	305.213	318.009	296.969
YBR109W-A	27.4862	18.5164	17.3841
YBR110W	24.7618	27.6502	23.6842
YBR111C	66.7141	57.377	63.1431
YBR111W-A	95.8301	104.973	102.204
YBR112C	33.6237	34.3691	29.5581
YBR113W	25.8108	28.2551	21.9927
YBR114W	11.5322	12.4172	10.4161
YBR115C	36.3823	35.2372	35.0659
YBR116C	5.11129	3.25519	3.51795
YBR117C	4.15458	5.07419	3.91192
YBR118W	850.416	846.912	842.357
YBR119W	11.5213	11.5487	11.2986
YBR120C	17.1266	19.5263	18.4585
YBR121C	286.883	297.289	261.962
YBR121C-A	1587.63	1605.2	1620.2
YBR122C	60.3385	54.5557	56.4053
YBR123C	10.0357	9.43972	9.2011
YBR124W	6.80147	2.9455	7.88643
YBR125C	21.9378	22.0771	21.6653
YBR126C	63.7433	59.8722	57.0154
YBR126W-A	896.045	765.973	855.003
YBR126W-B	2385.1	2139.6	2352.53
YBR127C	386.676	395.432	370.832
YBR128C	4.37569	4.80675	3.98246
YBR129C	11.7076	13.2415	11.7539
YBR130C	27.1873	31.2795	30.7809
YBR131W	6.29364	5.76263	6.45411
YBR131C-A	19.6552	51.0721	31.078
YBR132C	7.28964	7.60955	6.95007
YBR133C	21.4874	22.1869	20.3197
YBR134W	2.74135	1.66206	1.56043
YBR135W	79.1564	84.7652	81.4022
YBR136W	7.99956	8.00402	7.64331
YBR137W	35.3125	35.3293	31.7233
YBR138C	4.11202	4.65743	4.66127
YBR139W	33.2784	33.8265	31.8617
YBR140C	20.9342	22.6939	19.8793
YBR141C	16.0095	17.2855	15.7776
YBR141W-A	114.37	99.0595	132.614
YBR142W	43.4399	46.79	43.5978
YBR143C	198.607	216.808	192.316
YBR144C	1.89718	2.73868	1.59986
YBR145W	4.62564	5.26688	4.53626
YBR146W	42.1566	44.9775	43.9414
YBR147W	0.979968	1.41464	1.19827
YBR148W	0.610171	0.781246	0.604036
YBR149W	101.335	105.656	97.9415
YBR150C	6.89373	7.86149	7.36576
YBR151W	86.8129	88.8017	85.6278
YBR152W	11.0375	9.61793	9.47703
YBR153W	18.8138	19.5842	19.104
YBR154C	130.453	133.84	130.309
YBR155W	32.4375	34.5695	33.5311
YBR156C	5.94641	6.66406	5.58392
YBR157C	15.7588	15.8191	14.8737
YBR158W	121.696	129.08	111.922
YBR159W	59.0362	60.2267	59.5611
YBR160W	32.8162	31.6748	31.6444
YBR161W	9.74857	9.67922	9.14317
YBR162C	192.959	184.691	166.868
YBR162W-A	754.731	721.323	699.551
YBR163W	13.0914	15.8649	13.3427
YBR164C	63.5368	61.266	64.4358
YBR165W	12.6903	14.3449	14.4199
YBR166C	18.7041	19.2767	17.6609
YBR167C	23.8639	23.1747	31.1009
YBR168W	8.8278	10.2435	9.85755
YBR169C	13.5919	14.0516	13.1406
YBR170C	21.7574	23.0272	21.2537
YBR171W	56.0363	55.5662	55.1938
YBR172C	28.5992	30.1261	29.4568
YBR173C	93.6295	97.6085	110.798
YBR174C	12.0154	9.85926	17.1985
YBR175W	15.661	16.1111	15.4458
YBR176W	20.2419	19.6908	18.2615
YBR177C	26.1431	25.236	24.3466
YBR178W	0.998634	2.88317	0.631601
YBR179C	9.47733	10.7621	10.0321
YBR180W	1.74048	1.77933	1.38952
YBR181C	461.641	464.243	509.3
YBR182C	2.98511	2.84733	2.17476
YBR182C-A	13.4609	11.6589	8.51352
YBR183W	7.28917	7.08965	7.10416
YBR184W	1.55343	1.42786	1.68427
YBR185C	14.1949	17.4226	17.3239
YBR186W	4.03183	3.94432	3.02697
YBR187W	94.6887	95.1621	83.333
YBR188C	25.7923	31.7348	26.8321
YBR189W	2828.47	2800.68	2776.83
YBR190W	0.661128	0	2.0907
YBR191W	2147.14	2139.62	2130.11
YBR191W-A	253.462	137.208	126.909
YBR192W	12.3695	11.4115	12.0197
YBR193C	18.9386	19.4093	17.5594
YBR194W	21.1418	18.9023	21.3512
YBR195C	12.9117	15.4216	12.6394
YBR196C	888.111	903.145	838.193
YBR196C-A	33.9472	29.4029	42.9409
YBR196C-B	45.4108	94.3965	45.9532
YBR197C	29.3081	28.0757	28.4922
YBR198C	23.1192	21.9016	21.9702
YBR199W	46.1515	45.8062	45.0454
YBR200W	16.9321	17.738	16.8553
YBR200W-A	0	0	0
YBR201W	12.3552	14.7377	14.0519
YBR201C-A	44.4605	38.5088	35.7887
YBR202W	23.0694	23.441	23.572
YBR203W	3.53673	3.46597	3.35003
YBR204C	16.3667	15.8289	13.671
YBR205W	53.8394	55.1313	56.4047
YBR206W	117.814	112.198	104.53
YBR207W	30.006	31.2692	26.5272
YBR208C	7.02633	7.48111	6.84997
YBR209W	0.605806	1.57413	0.383151
YBR210W	37.9814	38.7498	40.8225
YBR211C	8.78138	11.5089	10.1213
YBR212W	18.6728	20.1548	17.0853
YBR213W	6.26227	6.05466	6.07916
YBR214W	11.6874	11.4018	11.2666
YBR215W	9.7068	8.80881	9.29837
YBR216C	11.0524	11.3934	10.6348
YBR217W	10.2168	7.8012	8.67236
YBR218C	69.0003	71.0237	66.761
YBR219C	15.5343	15.6076	10.2179
YBR220C	18.9824	18.7973	16.8154
YBR221C	233.244	244.787	218.569
YBR221W-A	0	0	17.2324
YBR222C	45.0967	43.5253	38.9948
YBR223C	5.62866	5.29455	5.03367
YBR223W-A	16.6519	36.0569	5.26586
YBR224W	0.628354	1.08848	1.39094
YBR225W	7.98175	7.66825	6.66964
YBR226C	11.9096	12.7821	12.6086
YBR227C	15.4173	15.7311	13.4453
YBR228W	7.43128	8.5638	8.32461
YBR229C	35.5614	35.953	33.7168
YBR230C	79.0457	76.3819	74.3103
YBR230W-A	104.728	123.364	127.175
YBR231C	6.51597	6.30123	6.40175
YBR232C	10.5801	13.4184	12.6661
YBR233W	10.813	8.268	7.42656
YBR233W-A	70.3477	61.84	86.9927
YBR234C	77.3115	75.0217	75.7168
YBR235W	9.98057	9.65946	9.28538
YBR236C	22.7485	22.8504	21.2318
YBR237W	7.23652	7.40453	6.8595
YBR238C	33.7135	37.4475	32.999
YBR239C	8.72632	8.18124	8.44678
YBR240C	0.987779	0.921361	0.792934
YBR241C	12.569	12.1391	10.9768
YBR242W	36.9239	38.5014	35.9931
YBR243C	19.5961	20.5131	17.8056
YBR244W	58.8944	52.8269	55.2651
YBR245C	23.1012	25.2133	23.3855
YBR246W	28.0076	30.0946	29.4844
YBR247C	53.2738	53.3293	51.1581
YBR248C	31.2339	28.1348	27.9759
YBR249C	195.053	204.849	185.998
YBR250W	0.665756	1.09835	0.74188
YBR251W	20.1325	19.2673	17.6848
YBR252W	113.138	109.17	111.414
YBR253W	49.1122	40.0538	39.4507
YBR254C	30.2167	29.9478	29.0944
YBR255W	6.7163	6.25253	5.96718
YBR255C-A	22.075	18.4826	16.0559
YBR256C	58.5225	59.6927	59.2895
YBR257W	15.0454	14.6295	14.9917
YBR258C	10.7187	16.5494	13.8531
YBR259W	7.03658	8.35263	8.14202
YBR260C	16.327	17.148	16.519
YBR261C	57.2284	55.38	53.7029
YBR262C	102.87	113.262	110.641
YBR263W	175.343	179.77	167.854
YBR264C	22.5845	17.3877	20.4811
YBR265W	36.1858	34.4454	33.6978
YBR267W	43.6059	48.1647	47.1121
YBR266C	46.8771	54.4919	49.0234
YBR268W	95.7173	71.8852	84.6764
YBR269C	48.4337	43.8963	54.4756
YBR270C	4.65023	4.78619	4.9655
YBR271W	19.5815	18.9365	19.1542
YBR272C	7.02557	7.1804	7.28721
YBR273C	22.4326	22.6451	22.7305
YBR274W	11.436	11.5379	11.7833
YBR275C	9.04107	9.91063	9.75847
YBR276C	22.0416	22.5317	21.2706
YBR277C	5.75683	5.46107	7.1086
YBR278W	12.806	9.76886	11.2202
YBR279W	31.4281	32.3249	32.0811
YBR280C	5.29006	5.38919	5.27358
YBR281C	12.5406	14.0565	11.4862
YBR282W	36.2629	38.4093	37.4421
YBR283C	143.338	151.188	140.958
YBR284W	1.38831	1.16859	1.18723
YBR285W	5.18645	3.90623	3.56549
YBR286W	244.681	248.973	239.348
YBR287W	39.268	39.5922	39.3167
YBR288C	19.6987	20.8365	21.0586
YBR289W	10.5833	11.0647	9.89533
YBR290W	15.3263	17.1253	18.3508
YBR291C	9.85748	10.3794	10.2686
YBR292C	2.72797	5.90698	3.01936
YBR293W	7.73941	7.59922	6.74459
YBR294W	5.23608	5.00269	4.24481
YBR295W	6.50961	6.70604	6.22244
YBR296C	0.539912	1.03372	0.629033
YBR296C-A	0	0	0
YBR297W	2.89759	4.01553	3.32163
YBR298C	3.31126	3.45981	2.95855
YBR298C-A	0	0	2.01724
YBR299W	0.306354	0.482443	0.387516
YBR300C	0.505333	0.291791	0.319605
YBR301W	5.15083	4.77998	3.49042
YBR302C	0	0	0
YCL076W	0	0.0733898	0
YCL073C	0	0	0
YCL069W	0	0	0
YCL068C	0	0	0
YCL067C	0	0	0
YCL066W	0	0	0
YCL065W	0	0	0
YCL064C	181.098	190.09	186.518
YCL063W	19.8028	20.4545	21.0558
YCL061C	10.1892	10.3538	10.2115
YCL059C	73.31	71.5692	71.7974
YCL058C	29.3598	27.3325	26.4009
YCL058W-A	16.234	11.3268	12.8343
YCL057C-A	400.507	380.04	384.463
YCL057W	57.6767	60.0661	57.4616
YCL056C	35.1777	44.1404	34.6565
YCL055W	28.4038	28.4306	26.9466
YCL054W	43.2689	44.2573	45.5402
YCL052C	20.5946	21.2094	18.6114
YCL051W	10.7717	10.6591	9.53074
YCL050C	115.24	119.776	114.285
YCL049C	11.5494	13.8994	11.8027
YCL048W-A	0	8.36764	6.11018
YCL048W	0.220171	0.063566	0.185667
YCL047C	14.7752	12.7974	16.3786
YCL045C	69.8838	75.0135	64.8574
YCL046W	75.3783	88.5012	79.81
YCL044C	15.4416	13.989	12.5905
YCL043C	370.716	359.592	350.099
YCL041C	2.55748	2.95349	3.4507
YCL042W	9.82435	8.50921	13.1441
YCL040W	63.3488	62.4586	59.4642
YCL039W	9.38385	10.6299	9.1625
YCL038C	7.9622	8.41679	8.16833
YCL037C	182.625	189.965	171.447
YCL036W	31.1103	30.4735	29.5052
YCL035C	162.205	161.673	172.034
YCL034W	32.228	33.5677	32.7364
YCL033C	59.6626	57.0265	59.2236
YCL032W	10.6975	11.3754	11.2875
YCL031C	61.5159	66.5731	66.4209
YCL030C	61.3638	61.695	56.2363
YCL029C	15.8554	17.8257	19.809
YCL028W	64.3207	64.858	62.8824
YCL027W	12.0951	12.1375	11.7008
YCL026C-B	11.3358	10.1456	9.71869
YCL026C-A	1.6374	1.74549	2.0712
YCL025C	5.53145	6.681	5.26372
YCL023C	2.11822	1.46773	2.41146
YCL024W	6.45609	7.17683	6.55542
YCL022C	6.59772	6.93905	6.9547
YCL021W-A	32.1885	46.7476	38.0429
YCL020W	0	0	0
YCL019W	0	0	0
YCL018W	0.148733	0.0429409	0.0627121
YCL017C	59.3935	58.329	55.4408
YCL016C	8.49174	9.46803	9.34684
YCL014W	12.7573	13.9639	12.6718
YCL012C	35.4899	44.9442	41.4913
YCL011C	66.1356	66.9347	63.8704
YCL010C	32.859	29.4865	31.2732
YCL009C	261.325	253.389	251.639
YCL008C	18.595	18.8234	17.9475
YCL007C	21.2626	18.9208	21.5534
YCL005W-A	975.982	975.171	1109.48
YCL005W	20.1678	19.5559	20.3274
YCL004W	6.27388	7.08906	5.63981
YCL002C	22.7093	30.7751	28.9699
YCL001W	64.101	69.9142	60.8124
YCL001W-A	2.36296	3.41108	1.24541
YCL001W-B	12.9998	14.4766	29.3639
YCR001W	6.95631	5.47737	4.79959
YCR002C	42.2921	41.6762	41.4488
YCR003W	22.2863	26.7364	26.2646
YCR004C	115.406	120.8	103.697
YCR005C	12.5014	13.9353	12.1408
YCR006C	11.7439	10.1718	9.7856
YCR007C	3.65106	4.01073	4.89993
YCR008W	39.4202	41.3483	36.0146
YCR009C	77.4678	90.2575	84.0754
YCR010C	2.29537	1.62663	1.97964
YCR011C	22.1786	23.054	21.1505
YCR012W	2338.74	2300.73	2167.4
YCR013C	1835.07	1796.55	1614.44
YCR014C	5.78808	5.81247	5.76525
YCR015C	7.37714	10.2027	9.06817
YCR016W	35.3555	34.8143	37.3252
YCR017C	41.6537	41.7222	38.8924
YCR018C	17.803	21.1695	21.8834
YCR018C-A	1.85711	16.0851	17.6184
YCR019W	10.0006	8.36017	8.27599
YCR020C	6.41228	7.19275	5.31874
YCR020C-A	149.692	143.774	134.982
YCR020W-B	149.698	169.215	179.729
YCR021C	3.41133	3.6328	3.18327
YCR022C	3.49497	2.64873	0.828918
YCR023C	12.6594	12.7732	11.7509
YCR024C	6.41074	6.99978	6.34066
YCR024C-B	3835.67	4426.19	3983.84
YCR024C-A	3800.7	4481.26	4476.77
YCR025C	6.21372	4.03644	5.23995
YCR026C	14.7011	14.7697	15.501
YCR027C	14.8616	16.8768	15.0391
YCR028C	15.3139	15.8829	13.9422
YCR028C-A	162.231	180.269	166.004
YCR030C	15.9503	16.1355	14.3184
