Gene	rph1d_RNA_Rep1	rph1d_RNA_Rep2	rph1d_RNA_Rep3
YOR232W	122.764	128.143	125.066
YOR233W	14.935	15.4655	15.5789
YOR234C	2787.88	2980.99	2835.02
YOR235W	0.632392	1.64321	1.1999
YOR236W	34.4645	34.3567	34.41
YOR237W	1.58874	2.06409	1.63283
YOR238W	17.6501	16.7668	15.9644
YOR239W	37.436	36.949	36.7624
YOR241W	28.9518	29.5977	28.2919
YOR242C	3.28962	3.01685	2.93727
YOR243C	47.003	48.7227	49.4222
YOR244W	12.1707	13.9774	11.3514
YOR245C	12.3997	14.0915	11.2109
YOR246C	45.4942	45.0193	42.2867
YOR247W	200.757	198.574	194.948
YOR248W	498.492	412.616	475.328
YOR249C	6.35284	7.20936	6.67213
YOR250C	11.67	12.6764	12.4963
YOR251C	38.5419	39.6008	41.1451
YOR252W	42.2339	40.9951	50.4754
YOR253W	76.4486	72.5271	76.6656
YOR254C	70.9391	74.8652	69.4304
YOR255W	0	0	0
YOR256C	11.8078	11.9094	12.1142
YOR257W	16.4585	15.4815	15.4462
YOR258W	8.1814	7.17589	6.61543
YOR259C	92.9827	95.169	85.8087
YOR260W	77.8532	82.4703	82.1845
YOR261C	92.6779	99.76	94.296
YOR262W	22.4749	23.3047	23.3907
YOR263C	18.2015	19.6491	17.3511
YOR264W	23.7836	24.6014	24.1642
YOR265W	124.955	127.356	143.356
YOR266W	7.46193	8.98433	8.19414
YOR267C	16.9547	17.7973	15.0726
YOR268C	0.279618	0	0.353696
YOR269W	11.0625	11.4921	10.6667
YOR270C	136.692	140.28	133.499
YOR271C	86.8526	86.248	85.5368
YOR272W	70.0893	72.9442	69.4527
YOR273C	4.7976	3.71464	3.75458
YOR274W	11.2332	12.8443	12.8803
YOR275C	16.9992	16.6268	17.7917
YOR276W	204.227	209.231	210.315
YOR277C	438.168	470.044	470.194
YOR278W	13.6187	13.0505	12.4618
YOR279C	6.19328	5.73599	5.46833
YOR280C	16.1844	20.2041	15.5223
YOR281C	39.4069	43.3324	41.5247
YOR282W	8.1366	6.544	9.92464
YOR283W	53.9397	54.4101	49.9477
YOR284W	7.38121	10.3042	8.34811
YOR285W	262.203	261.519	233.626
YOR286W	82.0072	90.1873	82.4852
YOR287C	18.406	18.3862	20.443
YOR288C	14.8102	14.4183	12.2145
YOR289W	6.45271	7.88181	6.01703
YOR290C	18.207	18.6608	17.3739
YOR291W	13.9406	15.2455	13.0282
YOR292C	10.9014	9.28203	10.6732
YOR293W	4897.94	5108.57	5629.25
YOR293C-A	13.5789	35.2834	30.0586
YOR294W	121.206	116.59	120.505
YOR295W	10.342	10.2017	11.3256
YOR296W	7.81863	7.52443	7.47979
YOR297C	27.8347	26.9708	26.0449
YOR298W	2.11298	2.13514	2.33867
YOR298C-A	500.272	510.346	510.681
YOR299W	17.7919	17.9634	17.232
YOR300W	27.6883	31.7759	32.8348
YOR301W	22.2585	23.018	20.3901
YOR302W	239.551	306.715	256.904
YOR303W	81.8455	83.109	71.5725
YOR304W	13.8058	15.0025	14.8566
YOR304C-A	114.401	106.337	130.591
YOR305W	23.1558	24.8241	21.3323
YOR306C	26.5605	27.4735	24.3922
YOR307C	18.2392	19.8449	18.3283
YOR308C	9.41287	10.6946	9.78794
YOR309C	191.602	225.398	206.189
YOR310C	211.897	218.617	206.55
YOR311C	27.2896	28.1192	29.333
YOR312C	2055.97	2118.32	1998.97
YOR313C	1.85684	1.93938	1.65795
YOR314W	4.65708	2.24092	3.27271
YOR314W-A	0	7.60542	0
YOR315W	31.2981	34.0804	32.2212
YOR316C	29.9982	29.9171	26.3539
YOR316C-A	11.2537	25.9925	30.8427
YOR317W	29.1155	30.5672	26.8277
YOR318C	7.25836	10.0587	4.59066
YOR319W	16.9692	21.2606	18.4948
YOR320C	25.9108	28.7781	27.9757
YOR321W	17.6272	19.0934	17.0391
YOR322C	19.2237	19.1676	18.9944
YOR323C	106.8	114.974	104.856
YOR324C	12.0182	11.2477	10.8149
YOR325W	8.94776	10.4947	8.60661
YOR326W	49.4672	50.5637	48.9592
YOR327C	222.837	210.987	231.768
YOR328W	5.07538	5.59709	4.6897
YOR329C	11.9811	12.8144	11.4504
YOR329W-A	7.50244	3.24906	9.49006
YOR330C	11.7024	11.7374	11.2869
YOR331C	171.843	165.416	178.222
YOR332W	202.213	201.608	216.258
YOR333C	6.24146	6.70337	6.31601
YOR334W	5.47704	6.74127	5.40116
